Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
C75,P. cassotis,10.208,D. plexippus,A. curassavica,0.94,0.25,2,1,0,Attempt,Wasps emerged,0014-10
C76,P. cassotis,10.208,D. plexippus,A. curassavica,1.29,0.25,2,1,0,Attempt,Wasps emerged,0014-10
BEC.3.11.1.C,P. cassotis,10.236,D. plexippus,A. curassavica,1.269,0.15277772,0,0,1,No attempt,Butterfly,0016-03
BEC.3.11.3.C,P. cassotis,10.236,D. plexippus,A. curassavica,1.421,0.236111053,0,0,1,No attempt,Butterfly,0016-03
PC15.7.19.2,P. cassotis,10.236,D. plexippus,A. curassavica,1.084,0.611111111,1b,0,1,Attempt,Butterfly,0015-07
PC15.7.19.6,P. cassotis,10.236,D. plexippus,A. incarnata,1.368,0.611111111,2,1,0,Attempt,Wasps emerged,0015-07
PC16.8.4.1,P. cassotis,10.333,D. plexippus,A. incarnata,1.273,0.583333333,2,1,0,Attempt,Wasps emerged,0016-08
PC16.8.4.3,P. cassotis,10.333,D. plexippus,A. incarnata,1.102,0.583333333,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-08
PCF16.8.25.2,P. cassotis,10.396,D. plexippus,A. incarnata,1.056,0.092361111,0,0,0,No attempt,"Dead butterfly, no wasps",0016-08
PCO16.9.18.2,P. cassotis,10.813,D. plexippus,A. curassavica,1.131,0.354166667,2,1,0,Attempt,Wasps emerged,0016-09
C1,P. cassotis,10.958,D. plexippus,A. curassavica,1.27,0.958333333,2,1,0,Attempt,Wasps emerged,0014-06
C2,P. cassotis,10.958,D. plexippus,A. curassavica,1.23,0.9375,2,1,0,Attempt,Wasps emerged,0014-06
C3,P. cassotis,10.958,D. plexippus,A. curassavica,1.11,0.916666667,2,1,0,Attempt,Wasps emerged,0014-06
I1,P. cassotis,10.958,D. plexippus,A. incarnata,1.26,0.979166667,2,1,0,Attempt,Wasps emerged,0014-06
I2,P. cassotis,10.958,D. plexippus,A. incarnata,1.33,0.958333333,2,1,0,Attempt,Wasps emerged,0014-06
I3,P. cassotis,10.958,D. plexippus,A. incarnata,1.43,0.934027778,0,0,1,No attempt,Butterfly,0014-06
C10,P. cassotis,11.059,D. plexippus,A. curassavica,1.26,0.913194444,2,1,0,Attempt,Wasps emerged,0014-06
C11,P. cassotis,11.059,D. plexippus,A. curassavica,1.37,0.142361111,2,1,0,Attempt,Wasps emerged,0014-06
I10,P. cassotis,11.059,D. plexippus,A. incarnata,1.19,0.871527778,0,0,1,No attempt,Butterfly,0014-06
I11,P. cassotis,11.059,D. plexippus,A. incarnata,1.21,0.788194444,2,1,0,Attempt,Wasps emerged,0014-06
PC15.5.26.3,P. cassotis,11.069,D. plexippus,A. curassavica,1.139,0.152777778,1b,0,1,Attempt,Butterfly,0015-05
C12,P. cassotis,11.125,D. plexippus,A. curassavica,1.54,0.173611111,2,1,0,Attempt,Wasps emerged,0014-06
C14,P. cassotis,11.125,D. plexippus,A. curassavica,1.27,0.111111111,1b,0,1,Attempt,Butterfly,0014-06
C15,P. cassotis,11.125,D. plexippus,A. curassavica,1.39,0.097222222,2,1,0,Attempt,Wasps emerged,0014-06
I12,P. cassotis,11.125,D. plexippus,A. incarnata,1.29,0.177083333,1d,0,0,Attempt,Dead wasps in host,0014-06
I13,P. cassotis,11.125,D. plexippus,A. incarnata,1.22,0.142361111,2,1,0,Attempt,Wasps emerged,0014-06
I14,P. cassotis,11.125,D. plexippus,A. incarnata,1.19,0.048611111,2,1,0,Attempt,Wasps emerged,0014-06
I15,P. cassotis,11.125,D. plexippus,A. incarnata,1.22,-0.006944444,2,1,0,Attempt,Wasps emerged,0014-06
PC16.4.3.1,P. cassotis,11.135,D. plexippus,A. incarnata,1.2,0.03125,2,1,0,Attempt,Wasps emerged,0016-04
PC15.6.14.4,P. cassotis,11.142,D. plexippus,A. curassavica,1.123,0.215277778,0,0,0,No attempt,"Dead butterfly, no wasps",0015-06
PC15.9.4.1,P. cassotis,11.167,D. plexippus,A. curassavica,1.227,0.125,2,1,0,Attempt,Wasps emerged,0015-09
BEC.2.27.1.C,P. cassotis,11.188,D. plexippus,A. curassavica,1.12,0.083333333,1b,0,1,Attempt,Butterfly,0016-02
BEC.2.27.1.M,P. cassotis,11.188,D. plexippus,A. curassavica,1.137,0.083333333,0,0,1,No attempt,Butterfly,0016-02
BEC.2.27.1.W,P. cassotis,11.188,D. plexippus,A. curassavica,1.02,0.166666667,2,1,0,Attempt,Wasps emerged,0016-02
BEC.2.27.2.C,P. cassotis,11.188,D. plexippus,A. curassavica,1.108,0.166666667,0,0,1,No attempt,Butterfly,0016-02
BEC.2.27.2.W,P. cassotis,11.188,D. plexippus,A. curassavica,1.243,0.229166667,0,0,1,No attempt,Butterfly,0016-02
BEC.2.27.3.M,P. cassotis,11.188,D. plexippus,A. curassavica,1.13,0.229166667,0,0,1,No attempt,Butterfly,0016-02
C78,P. cassotis,11.222,D. plexippus,A. curassavica,0.96,0.388888889,2,1,0,Attempt,Wasps emerged,0014-10
C79,P. cassotis,11.222,D. plexippus,A. curassavica,1.02,0.055555556,2,1,0,Attempt,Wasps emerged,0014-10
ok2a,P. cassotis,11.472,D. plexippus,A. incarnata,0.92,0.003472222,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-10
PC14.9.20.7,P. cassotis,11.969,D. plexippus,A. curassavica,1.28,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.20.8,P. cassotis,11.969,D. plexippus,A. curassavica,1.2,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC15.9.1.7,P. cassotis,12.01,D. plexippus,A. curassavica,1.482,0.197916667,1d,0,0,Attempt,"Dead butterfly, no wasps",0015-09
PC.DIAP.14.15,P. cassotis,12.132,D. plexippus,A. curassavica,1.2,0.090277778,2,1,0,Attempt,Wasps emerged,0014-09
