Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
5c8f,P. puparum,20.014,D. plexippus,A. incarnata,1.46,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c8g,P. puparum,20.014,D. plexippus,A. incarnata,1.01,0.041666667,1b,0,1,Attempt,Butterfly,0013-09
5c8h,P. puparum,20.014,D. plexippus,A. incarnata,1.4,0.020833333,1b,0,1,Attempt,Butterfly,0013-09
5c9j,P. puparum,20.031,D. plexippus,A. curassavica,1.27,0.010416667,0,0,1,No attempt,Butterfly,0013-09
5c9k,P. puparum,20.031,D. plexippus,A. incarnata,0.95,0.010416667,0,0,1,No attempt,Butterfly,0013-09
PC14.9.20.11,P. cassotis,20.135,D. plexippus,A. curassavica,1.34,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC15.7.19.1,P. cassotis,20.319,D. plexippus,A. curassavica,1.033,0.611111111,0,0,1,No attempt,Butterfly,0015-07
dptim2,P. puparum,20.381,D. plexippus,A. incarnata,1.15,0,1b,0,1,Attempt,Butterfly,0013-09
PC15.7.20.6,P. cassotis,20.948,D. plexippus,A. curassavica,1.128,0.072916667,1b,0,1,Attempt,Butterfly,0015-07
5c3i,P. puparum,20.979,D. plexippus,A. curassavica,1.11,0.166666667,0,0,1,No attempt,Butterfly,0013-09
5c7a,P. puparum,21.007,D. plexippus,A. incarnata,1.02,0.020833333,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c7b,P. puparum,21.007,D. plexippus,A. incarnata,1.18,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c7c,P. puparum,21.007,D. plexippus,A. curassavica,1.24,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim17,P. puparum,21.021,D. plexippus,A. incarnata,1.18,0.520833333,0,0,1,No attempt,Butterfly,0013-09
dptim18,P. puparum,21.021,D. plexippus,A. incarnata,1.26,0.520833333,0,0,1,No attempt,Butterfly,0013-09
dptim19,P. puparum,21.021,D. plexippus,A. incarnata,1.07,0.567361111,0,0,1,No attempt,Butterfly,0013-09
dptim20,P. puparum,21.021,D. plexippus,A. incarnata,1.25,0.5625,0,0,1,No attempt,Butterfly,0013-09
5c8i,P. puparum,21.047,D. plexippus,A. incarnata,0.65,0.004861111,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
5c8j,P. puparum,21.047,D. plexippus,A. incarnata,0.67,0.004861111,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PC15.7.20.4,P. cassotis,21.115,D. plexippus,A. curassavica,1.25,0.15625,0,0,1,No attempt,Butterfly,0015-07
PC15.7.20.5,P. cassotis,21.115,D. plexippus,A. curassavica,1.47,0.15625,0,0,1,No attempt,Butterfly,0015-07
PC14.6.15.1,P. cassotis,21.149,D. plexippus,A. incarnata,0.93,0.524305556,2,1,0,Attempt,Wasps emerged,0014-06
5c7f,P. puparum,21.151,D. plexippus,A. curassavica,1.07,0.025694444,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PCF16.9.28.2,P. cassotis,21.229,D. plexippus,A. incarnata,1.076,0.479166609,0,0,1,No attempt,Butterfly,0016-09
dptim23,P. puparum,21.408,D. plexippus,A. incarnata,1.1,0,0,0,1,No attempt,Butterfly,0013-09
dptim4,P. puparum,21.42,D. plexippus,A. incarnata,1.32,0.006944444,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
dptim9,P. puparum,21.542,D. plexippus,A. incarnata,1.09,1,0,0,1,No attempt,Butterfly,0013-09
dptim5,P. puparum,21.552,D. plexippus,A. incarnata,0.94,0.125,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim6,P. puparum,21.552,D. plexippus,A. incarnata,1.3,0.125,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim7,P. puparum,21.563,D. plexippus,A. incarnata,1,0.128472222,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim8,P. puparum,21.563,D. plexippus,A. incarnata,0.99,0.125,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c3m,P. puparum,21.927,D. plexippus,A. curassavica,1.42,0.006944444,0,0,1,No attempt,Butterfly,0013-09
5c3n,P. puparum,21.927,D. plexippus,A. curassavica,1.33,0.006944444,0,0,1,No attempt,Butterfly,0013-09
PC15.6.27.1,P. cassotis,22.146,D. plexippus,A. incarnata,1.555,0.895833333,0,0,1,No attempt,Butterfly,0015-06
PC15.7.21.3,P. cassotis,22.222,D. plexippus,A. curassavica,0.756,0.097222222,1d,0,0,Attempt,Dead wasps in host,0015-07
PC16.2.15.1,P. cassotis,22.222,D. plexippus,A. incarnata,0.641,0.097222222,2,1,0,Attempt,Wasps emerged,0016-02
5c5h,P. puparum,22.924,D. plexippus,A. curassavica,1.43,0.916666667,0,0,1,No attempt,Butterfly,0013-09
5c5i,P. puparum,22.924,D. plexippus,A. incarnata,1.07,0.125,1b,0,1,Attempt,Butterfly,0013-09
5c5j,P. puparum,22.938,D. plexippus,A. incarnata,1,0.166666667,0,0,1,No attempt,Butterfly,0013-09
PCF16.9.28.1,P. cassotis,22.979,D. plexippus,A. incarnata,1.157,0.479166609,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-09
5c3o*,P. puparum,23.042,D. plexippus,A. incarnata,0.68,0.041666667,1b,0,1,Attempt,Butterfly,0013-09
5c2c,P. puparum,24.031,D. plexippus,A. incarnata,1.06,0.010416667,0,0,1,No attempt,Butterfly,0013-09
PC14.6.15.2,P. cassotis,24.191,D. plexippus,A. incarnata,1.1,0.524305556,2,1,0,Attempt,Wasps emerged,0014-06
5c1zm,P. puparum,24.976,D. plexippus,A. curassavica,1.23,0.006944444,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
CIY,Control,NA,D. plexippus,A. incarnata,1.16,NA,NA,NA,1,NA,Butterfly,0014-06
CIZ,Control,NA,D. plexippus,A. incarnata,1.22,NA,NA,NA,1,NA,Butterfly,0014-06
CI8,Control,NA,D. plexippus,A. incarnata,1.17,NA,NA,NA,1,NA,Butterfly,0014-06
CI6,Control,NA,D. plexippus,A. incarnata,1.23,NA,NA,NA,1,NA,Butterfly,0014-06
CC8,Control,NA,D. plexippus,A. curassavica,1.28,NA,NA,NA,1,NA,Butterfly,0014-06
CC2,Control,NA,D. plexippus,A. curassavica,1.32,NA,NA,NA,1,NA,Butterfly,0014-06
CC4,Control,NA,D. plexippus,A. curassavica,1.37,NA,NA,NA,1,NA,Butterfly,0014-06
CC6,Control,NA,D. plexippus,A. curassavica,1.38,NA,NA,NA,1,NA,Butterfly,0014-06
CI1,Control,NA,D. plexippus,A. incarnata,1.39,NA,NA,NA,1,NA,Butterfly,0014-06
CI4,Control,NA,D. plexippus,A. incarnata,1.47,NA,NA,NA,1,NA,Butterfly,0014-06
CI5,Control,NA,D. plexippus,A. incarnata,0.97,NA,NA,NA,1,NA,Butterfly,0014-06
CI3,Control,NA,D. plexippus,A. incarnata,1.17,NA,NA,NA,1,NA,Butterfly,0014-06
CI2,Control,NA,D. plexippus,A. incarnata,1.18,NA,NA,NA,1,NA,Butterfly,0014-06
CC1,Control,NA,D. plexippus,A. curassavica,1.27,NA,NA,NA,1,NA,Butterfly,0014-06
CC3,Control,NA,D. plexippus,A. curassavica,1.28,NA,NA,NA,1,NA,Butterfly,0014-06
CC7,Control,NA,D. plexippus,A. curassavica,1.32,NA,NA,NA,1,NA,Butterfly,0014-06
CC5,Control,NA,D. plexippus,A. curassavica,1.34,NA,NA,NA,1,NA,Butterfly,0014-06
CI7,Control,NA,D. plexippus,A. incarnata,1.39,NA,NA,NA,1,NA,Butterfly,0014-06
CI11,Control,NA,D. plexippus,A. incarnata,1.2,NA,NA,NA,1,NA,Butterfly,0014-07
CI9,Control,NA,D. plexippus,A. incarnata,1.26,NA,NA,NA,1,NA,Butterfly,0014-07
CC9,Control,NA,D. plexippus,A. curassavica,1.34,NA,NA,NA,1,NA,Butterfly,0014-07
CI12,Control,NA,D. plexippus,A. incarnata,1.34,NA,NA,NA,1,NA,Butterfly,0014-07
CC12,Control,NA,D. plexippus,A. curassavica,1.35,NA,NA,NA,1,NA,Butterfly,0014-07
CI10,Control,NA,D. plexippus,A. incarnata,1.31,NA,NA,NA,1,NA,Butterfly,0014-07
CC10,Control,NA,D. plexippus,A. curassavica,1.36,NA,NA,NA,1,NA,Butterfly,0014-07
CC11,Control,NA,D. plexippus,A. curassavica,1.46,NA,NA,NA,1,NA,Butterfly,0014-07
CIX,Control,NA,D. plexippus,A. incarnata,1.18,NA,NA,NA,1,NA,Butterfly,0014-07
CCZ,Control,NA,D. plexippus,A. curassavica,1.29,NA,NA,NA,1,NA,Butterfly,0014-07
CC16,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC15,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CI12,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC10*,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CI10*,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CI13,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC14,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CI11*,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC12,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC13,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CC11*,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
CI21,Control,NA,D. plexippus,A. incarnata,1.17,NA,NA,NA,1,NA,Butterfly,0014-10
CI20,Control,NA,D. plexippus,A. incarnata,1.31,NA,NA,NA,1,NA,Butterfly,0014-10
CI22,Control,NA,D. plexippus,A. incarnata,1.33,NA,NA,NA,1,NA,Butterfly,0014-10
CI24,Control,NA,D. plexippus,A. incarnata,1.32,NA,NA,NA,1,NA,Butterfly,0014-10
CI23,Control,NA,D. plexippus,A. incarnata,1.37,NA,NA,NA,1,NA,Butterfly,0014-10
CI27,Control,NA,D. plexippus,A. incarnata,1.38,NA,NA,NA,1,NA,Butterfly,0014-10
CI25,Control,NA,D. plexippus,A. incarnata,1.49,NA,NA,NA,1,NA,Butterfly,0014-10
CI26,Control,NA,D. plexippus,A. incarnata,1.57,NA,NA,NA,1,NA,Butterfly,0014-10
CC41,Control,NA,D. plexippus,A. curassavica,1.09,NA,NA,NA,1,NA,Butterfly,0014-10
CC42,Control,NA,D. plexippus,A. curassavica,1.25,NA,NA,NA,1,NA,Butterfly,0014-10
CC40,Control,NA,D. plexippus,A. curassavica,1.38,NA,NA,NA,1,NA,Butterfly,0014-10
CI40,Control,NA,D. plexippus,A. incarnata,0.98,NA,NA,NA,1,NA,Butterfly,0014-10
CC44,Control,NA,D. plexippus,A. curassavica,1.13,NA,NA,NA,1,NA,Butterfly,0014-10
CC43,Control,NA,D. plexippus,A. curassavica,1.28,NA,NA,NA,1,NA,Butterfly,0014-10
CC45,Control,NA,D. plexippus,A. curassavica,0.82,NA,NA,NA,1,NA,Butterfly,0014-10
C15.379,Control,NA,D. plexippus,A. curassavica,1.134,NA,NA,NA,1,NA,Butterfly,0015-07
C15.380,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0015-07
C15.382,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0015-07
C15.384,Control,NA,D. plexippus,A. curassavica,1.184,NA,NA,NA,1,NA,Butterfly,0015-07
C15.385,Control,NA,D. plexippus,A. curassavica,1.254,NA,NA,NA,1,NA,Butterfly,0015-07
C15.383,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0015-07
C14.212,Control,NA,D. plexippus,A. incarnata,1.25,NA,NA,NA,1,NA,Butterfly,0014-06
PpCC3,Control,NA,D. plexippus,A. curassavica,1.16,NA,NA,NA,1,NA,Butterfly,0014-07
PpCC1,Control,NA,D. plexippus,A. curassavica,1.25,NA,NA,NA,1,NA,Butterfly,0014-07
PpCI3,Control,NA,D. plexippus,A. incarnata,1.33,NA,NA,NA,1,NA,Butterfly,0014-07
PpCI2,Control,NA,D. plexippus,A. incarnata,1.4,NA,NA,NA,1,NA,Butterfly,0014-07
PpCC2,Control,NA,D. plexippus,A. curassavica,1.44,NA,NA,NA,1,NA,Butterfly,0014-07
PpCI1,Control,NA,D. plexippus,A. incarnata,1.54,NA,NA,NA,1,NA,Butterfly,0014-07
C14.306,Control,NA,D. plexippus,A. curassavica,1.39,NA,NA,NA,1,NA,Butterfly,0014-07
PpCI4,Control,NA,D. plexippus,A. incarnata,1.35,NA,NA,NA,1,NA,Butterfly,0014-07
PpCC4,Control,NA,D. plexippus,A. curassavica,1.42,NA,NA,NA,1,NA,Butterfly,0014-07
PpCIZ,Control,NA,D. plexippus,A. incarnata,1.3,NA,NA,NA,1,NA,Butterfly,0014-07
PpCC5,Control,NA,D. plexippus,A. curassavica,1.35,NA,NA,NA,1,NA,Butterfly,0014-07
PpCI5,Control,NA,D. plexippus,A. incarnata,1.4,NA,NA,NA,1,NA,Butterfly,0014-07
PpCC6,Control,NA,D. plexippus,A. curassavica,1.51,NA,NA,NA,1,NA,Butterfly,0014-07
C14.309,Control,NA,D. plexippus,A. curassavica,1.38,NA,NA,NA,1,NA,Butterfly,0014-07
C14.309,Control,NA,D. plexippus,A. curassavica,1.48,NA,NA,NA,1,NA,Butterfly,0014-07
C14.308,Control,NA,D. plexippus,A. curassavica,1.55,NA,NA,NA,1,NA,Butterfly,0014-07
C14.321,Control,NA,D. plexippus,A. curassavica,1.17,NA,NA,NA,1,NA,Butterfly,0014-07
C14.328,Control,NA,D. plexippus,A. curassavica,1.25,NA,NA,NA,1,NA,Butterfly,0014-07
C14.329,Control,NA,D. plexippus,A. curassavica,1.29,NA,NA,NA,1,NA,Butterfly,0014-07
C14.332,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-07
C14.334,Control,NA,D. plexippus,A. curassavica,1.25,NA,NA,NA,1,NA,Butterfly,0014-08
C14.380,Control,NA,D. plexippus,A. incarnata,1.38,NA,NA,NA,1,NA,Butterfly,0014-08
C14.392,Control,NA,D. plexippus,A. incarnata,1.4,NA,NA,NA,1,NA,Butterfly,0014-08
C14.394,Control,NA,D. plexippus,A. incarnata,1.18,NA,NA,NA,1,NA,Butterfly,0014-09
C14.400,Control,NA,D. plexippus,A. incarnata,1.41,NA,NA,NA,1,NA,Butterfly,0014-09
C14.399,Control,NA,D. plexippus,A. incarnata,1.48,NA,NA,NA,1,NA,Butterfly,0014-09
C14.395,Control,NA,D. plexippus,A. incarnata,0.99,NA,NA,NA,1,NA,Butterfly,0014-09
C14.396,Control,NA,D. plexippus,A. incarnata,1.02,NA,NA,NA,1,NA,Butterfly,0014-09
C14.403,Control,NA,D. plexippus,A. incarnata,1.09,NA,NA,NA,1,NA,Butterfly,0014-09
C14.397,Control,NA,D. plexippus,A. incarnata,1.17,NA,NA,NA,1,NA,Butterfly,0014-09
C14.393,Control,NA,D. plexippus,A. incarnata,1.18,NA,NA,NA,1,NA,Butterfly,0014-09
C14.398,Control,NA,D. plexippus,A. incarnata,1.28,NA,NA,NA,1,NA,Butterfly,0014-09
C14.406,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.405,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.404,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.410,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.409,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.419,Control,NA,D. plexippus,A. curassavica,1.37,NA,NA,NA,1,NA,Butterfly,0014-09
C14.421,Control,NA,D. plexippus,A. curassavica,1.27,NA,NA,NA,1,NA,Butterfly,0014-09
C14.435,Control,NA,D. plexippus,A. curassavica,1.34,NA,NA,NA,1,NA,Butterfly,0014-09
C14.437,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.438,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.439,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0014-09
C14.464,Control,NA,D. plexippus,A. curassavica,1.34,NA,NA,NA,1,NA,Butterfly,0014-10
C15.251,Control,NA,D. plexippus,A. curassavica,0.96,NA,NA,NA,1,NA,Butterfly,0015-05
C15.253,Control,NA,D. plexippus,A. curassavica,1.244,NA,NA,NA,1,NA,Butterfly,0015-05
C15.254,Control,NA,D. plexippus,A. curassavica,1.119,NA,NA,NA,1,NA,Butterfly,0015-05
C15.256,Control,NA,D. plexippus,A. curassavica,1.239,NA,NA,NA,1,NA,Butterfly,0015-05
C15.257,Control,NA,D. plexippus,A. incarnata,1.422,NA,NA,NA,1,NA,Butterfly,0015-05
C15.258,Control,NA,D. plexippus,A. curassavica,1.289,NA,NA,NA,1,NA,Butterfly,0015-05
C15.259,Control,NA,D. plexippus,A. curassavica,1.384,NA,NA,NA,1,NA,Butterfly,0015-05
C15.260,Control,NA,D. plexippus,A. curassavica,1.222,NA,NA,NA,1,NA,Butterfly,0015-05
C15.262,Control,NA,D. plexippus,A. incarnata,1.221,NA,NA,NA,1,NA,Butterfly,0015-05
C15.261,Control,NA,D. plexippus,A. curassavica,1.311,NA,NA,NA,1,NA,Butterfly,0015-05
C15.263,Control,NA,D. plexippus,A. curassavica,1.218,NA,NA,NA,1,NA,Butterfly,0015-05
C15.268,Control,NA,D. plexippus,A. incarnata,1.212,NA,NA,NA,1,NA,Butterfly,0015-06
C15.271,Control,NA,D. plexippus,A. incarnata,1.119,NA,NA,NA,1,NA,Butterfly,0015-06
C15.270,Control,NA,D. plexippus,A. incarnata,1.201,NA,NA,NA,1,NA,Butterfly,0015-06
C15.277,Control,NA,D. plexippus,A. curassavica,1.028,NA,NA,NA,1,NA,Butterfly,0015-06
C15.276,Control,NA,D. plexippus,A. incarnata,1.08,NA,NA,NA,0,NA,Butterfly,0015-06
C15.279,Control,NA,D. plexippus,A. incarnata,1.25,NA,NA,NA,1,NA,Butterfly,0015-06
C15.280,Control,NA,D. plexippus,A. incarnata,0.975,NA,NA,NA,1,NA,Butterfly,0015-06
C15.284,Control,NA,D. plexippus,A. incarnata,0.948,NA,NA,NA,0,NA,Butterfly,0015-06
C15.403,Control,NA,D. plexippus,A. incarnata,0.964,NA,NA,NA,1,NA,Butterfly,0015-07
C15.400,Control,NA,D. plexippus,A. curassavica,1.153,NA,NA,NA,1,NA,Butterfly,0015-07
C15.410,Control,NA,D. plexippus,A. incarnata,1.111,NA,NA,NA,1,NA,Butterfly,0015-07
C15.411,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0015-07
C15.412,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0015-07
C15.417,Control,NA,D. plexippus,A. incarnata,0.78,NA,NA,NA,1,NA,Butterfly,0015-07
C15.488,Control,NA,D. plexippus,A. curassavica,1.292,NA,NA,NA,1,NA,Butterfly,0015-09
C15.487,Control,NA,D. plexippus,A. curassavica,1.423,NA,NA,NA,1,NA,Butterfly,0015-09
C15.489,Control,NA,D. plexippus,A. curassavica,1.387,NA,NA,NA,1,NA,Butterfly,0015-09
C15.496,Control,NA,D. plexippus,A. curassavica,0.904,NA,NA,NA,1,NA,Butterfly,0015-09
C15.499,Control,NA,D. plexippus,A. curassavica,1.12,NA,NA,NA,1,NA,Butterfly,0015-09
C15.500,Control,NA,D. plexippus,A. curassavica,1.133,NA,NA,NA,1,NA,Butterfly,0015-09
C15.502,Control,NA,D. plexippus,A. curassavica,1.177,NA,NA,NA,1,NA,Butterfly,0015-09
C15.501,Control,NA,D. plexippus,A. curassavica,1.335,NA,NA,NA,1,NA,Butterfly,0015-09
C16.112,Control,NA,D. plexippus,A. curassavica,1.265,NA,NA,NA,1,NA,Butterfly,0016-02
C16.113,Control,NA,D. plexippus,A. curassavica,1.307,NA,NA,NA,1,NA,Butterfly,0016-02
C16.114,Control,NA,D. plexippus,A. curassavica,1.45,NA,NA,NA,1,NA,Butterfly,0016-02
C16.132,Control,NA,D. plexippus,A. incarnata,0.912,NA,NA,NA,1,NA,Butterfly,0016-02
C16.133,Control,NA,D. plexippus,A. incarnata,0.919,NA,NA,NA,1,NA,Butterfly,0016-02
C16.131,Control,NA,D. plexippus,A. incarnata,1.114,NA,NA,NA,1,NA,Butterfly,0016-02
C16.134,Control,NA,D. plexippus,A. incarnata,1.051,NA,NA,NA,1,NA,Butterfly,0016-02
C16.142,Control,NA,D. plexippus,A. incarnata,0.697,NA,NA,NA,1,NA,Butterfly,0016-02
C16.143,Control,NA,D. plexippus,A. incarnata,0.796,NA,NA,NA,1,NA,Butterfly,0016-02
C16.154,Control,NA,D. plexippus,A. incarnata,1.169,NA,NA,NA,1,NA,Butterfly,0016-02
C16.159,Control,NA,D. plexippus,A. incarnata,0.94,NA,NA,NA,1,NA,Butterfly,0016-02
C16.162,Control,NA,D. plexippus,A. incarnata,1.098,NA,NA,NA,1,NA,Butterfly,0016-02
C16.161,Control,NA,D. plexippus,A. incarnata,1.236,NA,NA,NA,1,NA,Butterfly,0016-02
C16.163,Control,NA,D. plexippus,A. curassavica,1.032,NA,NA,NA,1,NA,Butterfly,0016-02
C16.166,Control,NA,D. plexippus,A. curassavica,0.891,NA,NA,NA,1,NA,Butterfly,0016-02
C16.169,Control,NA,D. plexippus,A. curassavica,0.991,NA,NA,NA,1,NA,Butterfly,0016-02
C16.168,Control,NA,D. plexippus,A. incarnata,1.185,NA,NA,NA,1,NA,Butterfly,0016-02
C16.171,Control,NA,D. plexippus,A. incarnata,1.319,NA,NA,NA,1,NA,Butterfly,0016-02
C16.193,Control,NA,D. plexippus,A. incarnata,1.166,NA,NA,NA,1,NA,Butterfly,0016-03
C16.192,Control,NA,D. plexippus,A. incarnata,1.407,NA,NA,NA,1,NA,Butterfly,0016-03
C16.202,Control,NA,D. plexippus,A. incarnata,0.888,NA,NA,NA,1,NA,Butterfly,0016-04
C16.205,Control,NA,D. plexippus,A. incarnata,0.803,NA,NA,NA,1,NA,Butterfly,0016-04
C16.207,Control,NA,D. plexippus,A. incarnata,0.912,NA,NA,NA,1,NA,Butterfly,0016-04
C16.210,Control,NA,D. plexippus,A. incarnata,0.819,NA,NA,NA,0,NA,Butterfly,0016-04
C16.232,Control,NA,D. plexippus,A. curassavica,1.301,NA,NA,NA,1,NA,Butterfly,0016-04
C16.238,Control,NA,D. plexippus,A. curassavica,1.162,NA,NA,NA,1,NA,Butterfly,0016-04
C16.239,Control,NA,D. plexippus,A. incarnata,1.488,NA,NA,NA,1,NA,Butterfly,0016-04
C16.243,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,1,NA,Butterfly,0016-04
C16.418,Control,NA,D. plexippus,A. incarnata,1.153,NA,NA,NA,1,NA,Butterfly,0016-08
C16.419,Control,NA,D. plexippus,A. incarnata,1.103,NA,NA,NA,0,NA,"Dead butterfly, no wasps",0016-08
C16.421,Control,NA,D. plexippus,A. incarnata,1.037,NA,NA,NA,1,NA,Butterfly,0016-08
C16.428,Control,NA,D. plexippus,A. curassavica,1.215,NA,NA,NA,1,NA,Butterfly,0016-08
C16.430,Control,NA,D. plexippus,A. curassavica,0.915,NA,NA,NA,1,NA,Butterfly,0016-08
C16.431,Control,NA,D. plexippus,A. curassavica,0.927,NA,NA,NA,0,NA,"Dead butterfly, no wasps",0016-08
C16.432,Control,NA,D. plexippus,A. curassavica,1.063,NA,NA,NA,0,NA,"Dead butterfly, no wasps",0016-08
C16.445,Control,NA,D. plexippus,A. curassavica,1.244,NA,NA,NA,0,NA,Butterfly,0016-08
C16.472,Control,NA,D. plexippus,A. curassavica,1.034,NA,NA,NA,1,NA,Butterfly,0016-08
C16.473,Control,NA,D. plexippus,A. curassavica,1.1,NA,NA,NA,1,NA,Butterfly,0016-08
C16.477,Control,NA,D. plexippus,A. curassavica,1.145,NA,NA,NA,0,NA,"Dead butterfly, no wasps",0016-08
C16.478,Control,NA,D. plexippus,A. curassavica,NA,NA,NA,NA,1,NA,Butterfly,0016-08
C16.483,Control,NA,D. plexippus,A. incarnata,NA,NA,NA,NA,0,NA,"Dead butterfly, no wasps",0016-08
C16.523,Control,NA,D. plexippus,A. incarnata,1.311,NA,NA,NA,1,NA,Butterfly,0016-09
C16.528,Control,NA,D. plexippus,A. incarnata,1.237,NA,NA,NA,1,NA,Butterfly,0016-09
C16.529,Control,NA,D. plexippus,A. incarnata,1.414,NA,NA,NA,1,NA,Butterfly,0016-09
C16.530,Control,NA,D. plexippus,A. incarnata,1.097,NA,NA,NA,0,NA,Butterfly,0016-09
C16.533,Control,NA,D. plexippus,A. incarnata,1.195,NA,NA,NA,1,NA,Butterfly,0016-09
C16.534,Control,NA,D. plexippus,A. incarnata,1.224,NA,NA,NA,1,NA,Butterfly,0016-09
C16.537,Control,NA,D. plexippus,A. curassavica,0.763,NA,NA,NA,1,NA,Butterfly,0016-09
C16.536,Control,NA,D. plexippus,A. incarnata,0.984,NA,NA,NA,1,NA,Butterfly,0016-09
C16.538,Control,NA,D. plexippus,A. curassavica,0.859,NA,NA,NA,1,NA,Butterfly,0016-09
