SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day,UNITS
27-137-7001,2017-04-01,3,13,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2017,4,01,PPB
27-137-7001,2017-04-02,6,13,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2017,4,02,PPB
27-137-7001,2017-04-03,2,11,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,03,PPB
27-137-7001,2017-04-04,10,10,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T10:00:00Z,88101,2017,4,04,PPB
27-137-7001,2017-04-05,0,16,43.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,05,PPB
27-137-7001,2017-04-06,0,18,41.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,06,PPB
27-137-7001,2017-04-07,1,18,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,07,PPB
27-137-7001,2017-04-08,2,14,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,08,PPB
27-137-7001,2017-04-09,9,14,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T09:00:00Z,88101,2017,4,09,PPB
27-137-7001,2017-04-10,1,17,50,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,10,PPB
27-137-7001,2017-04-11,0,17,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,11,PPB
27-137-7001,2017-04-12,3,10,40.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2017,4,12,PPB
27-137-7001,2017-04-13,2,9,38.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,13,PPB
27-137-7001,2017-04-14,0,8,29,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,14,PPB
27-137-7001,2017-04-15,0,12,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,15,PPB
27-137-7001,2017-04-16,7,11,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2017,4,16,PPB
27-137-7001,2017-04-17,1,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,17,PPB
27-137-7001,2017-04-18,2,12,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,18,PPB
27-137-7001,2017-04-19,1,18,47,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,19,PPB
27-137-7001,2017-04-20,2,22,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,20,PPB
27-137-7001,2017-04-21,9,12,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T09:00:00Z,88101,2017,4,21,PPB
27-137-7001,2017-04-22,1,12,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,22,PPB
27-137-7001,2017-04-23,6,15,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2017,4,23,PPB
27-137-7001,2017-04-24,2,7,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2017,4,24,PPB
27-137-7001,2017-04-25,0,8,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,25,PPB
27-137-7001,2017-04-26,10,8,40.4,27,137,7001,47.523355,-92.536305,1899-12-31T10:00:00Z,88101,2017,4,26,PPB
27-137-7001,2017-04-27,0,9,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,27,PPB
27-137-7001,2017-04-28,0,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,28,PPB
27-137-7001,2017-04-29,1,10,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2017,4,29,PPB
27-137-7001,2017-04-30,0,8,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2017,4,30,PPB
