SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day,UNITS
27-137-7001,2018-04-01,1,12,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2018,4,01,PPB
27-137-7001,2018-04-02,0,14,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2018,4,02,PPB
27-137-7001,2018-04-03,1,16,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2018,4,03,PPB
27-137-7001,2018-04-04,0,12,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2018,4,04,PPB
27-137-7001,2018-04-05,2,14,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2018,4,05,PPB
27-137-7001,2018-04-06,2,16,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2018,4,06,PPB
27-137-7001,2018-04-07,3,18,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2018,4,07,PPB
27-137-7001,2018-04-08,0,14,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2018,4,08,PPB
27-137-7001,2018-04-09,0,11,53,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2018,4,09,PPB
27-137-7001,2018-04-10,3,16,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2018,4,10,PPB
27-137-7001,2018-04-11,1,54,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2018,4,11,PPB
27-137-7001,2018-04-12,0,12,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2018,4,12,PPB
27-137-7001,2018-04-13,3,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2018,4,13,PPB
27-137-7001,2018-04-14,1,8,27.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2018,4,14,PPB
27-137-7001,2018-04-15,3,10,29.599999999999998,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2018,4,15,PPB
27-137-7001,2018-04-16,2,10,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2018,4,16,PPB
27-137-7001,2018-04-17,3,10,35,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2018,4,17,PPB
